Web link,Provider URN,Provider status,Provider type,Sector,Organisation name,Provider name,Provider address 1,Provider address 2,Provider town,Provider postcode,Local Authority,Region,Inspection Number,Inspection date,Inspection type group,Overall Effectiveness,Outcomes in education and related learning activities,How well children and young people are helped and protected,The impact and effectiveness of leaders and managers
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1155768,1155768,Active,Children's Home,Local Authority,Worcestershire County Council,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Worcestershire,West Midlands,10050905,21/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1159385,1159385,Active,Children's Home,Private,Cambian Childcare Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Shropshire,West Midlands,10051052,03/10/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1159763,1159763,Active,Children's Home,Private,Witherslack Group Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Darlington,"North East, Yorkshire and The Humber",10050925,21/11/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1183069,1183069,Active,Children's Home,Private,The Priory Group,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Suffolk,East of England,10050935,22/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1183173,1183173,Active,Children's Home,Private,Tlc Youth Care Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Northamptonshire,East Midlands,10050955,24/10/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1183574,1183574,Active,Children's Home,Local Authority,Cheshire West and Chester Council,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Cheshire West and Chester,North West,10050982,31/10/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1183826,1183826,Active,Children's Home,Private,Sunderland Care And Support Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Sunderland,"North East, Yorkshire and The Humber",10051014,28/11/2018,Full inspection,Good,,Requires improvement to be good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1212704,1212704,Active,Children's Home,Private,Hexagon Care Services Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North Yorkshire,"North East, Yorkshire and The Humber",10051099,09/11/2018,Full inspection,Good,,Requires improvement to be good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1213416,1213416,Active,Children's Home,Private,Reflexion Care Group Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Shropshire,West Midlands,10050958,16/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1214266,1214266,Active,Children's Home,Private,Platform Childcare Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Leicestershire,East Midlands,10050956,15/11/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1214396,1214396,Active,Children's Home,Private,River Valley Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Herefordshire,West Midlands,10050984,24/10/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1215521,1215521,Active,Children's Home,Private,Resolute Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Nottingham,East Midlands,10050965,29/11/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1216505,1216505,Active,Children's Home,Private,Hennessy Living Group Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Newcastle upon Tyne,"North East, Yorkshire and The Humber",10078247,02/10/2018,Monitoring visit,,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1220887,1220887,Active,Children's Home,Private,Hygge Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Staffordshire,West Midlands,10050962,05/12/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1221437,1221437,Active,Children's Home,Private,Potensial Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Dorset,South West,10051007,20/12/2018,Full inspection,Good,,Requires improvement to be good,Good
